iter	Passed	Remaining
403	13316	6460
404	13351	6428
405	13385	6396
406	13421	6364
407	13455	6332
408	13491	6300
409	13527	6269
410	13560	6235
411	13595	6203
412	13631	6172
413	13665	6139
414	13697	6106
415	13731	6073
416	13766	6041
417	13801	6009
418	13836	5977
419	13872	5945
420	13906	5912
421	13941	5880
422	13974	5847
423	14010	5815
424	14046	5783
425	14080	5751
426	14114	5718
427	14150	5686
428	14184	5653
429	14218	5621
430	14249	5587
431	14282	5554
432	14315	5521
433	14350	5488
434	14382	5455
435	14416	5422
436	14450	5389
437	14484	5357
438	14518	5324
439	14552	5291
440	14584	5258
441	14622	5227
442	14657	5194
443	14690	5161
444	14728	5130
445	14762	5097
446	14797	5065
447	14831	5032
448	14865	4999
449	14905	4968
450	14946	4937
451	14985	4906
452	15020	4874
453	15051	4840
454	15084	4807
455	15120	4774
456	15154	4741
457	15189	4709
458	15225	4676
459	15260	4644
460	15295	4611
461	15330	4579
462	15365	4546
463	15398	4513
464	15433	4480
465	15466	4447
466	15501	4414
467	15537	4382
468	15572	4349
469	15606	4316
470	15638	4283
471	15670	4249
472	15702	4216
473	15733	4182
474	15768	4149
475	15799	4115
476	15828	4081
477	15859	4047
478	15890	4014
479	15924	3981
480	15957	3947
481	15991	3914
482	16024	3881
483	16058	3848
484	16090	3815
485	16121	3781
486	16156	3748
487	16188	3715
488	16220	3681
489	16250	3647
490	16281	3614
491	16311	3580
492	16340	3546
493	16369	3512
494	16398	3478
495	16428	3444
496	16457	3410
497	16486	3376
498	16517	3343
499	16548	3309
500	16577	3275
501	16606	3241
502	16634	3207
503	16662	3173
504	16692	3140
505	16723	3106
506	16754	3073
507	16784	3039
508	16816	3006
509	16848	2973
510	16879	2939
511	16910	2906
512	16942	2873
513	16974	2840
514	17010	2807
515	17042	2774
516	17075	2741
517	17108	2708
518	17140	2675
519	17173	2642
520	17214	2610
521	17246	2577
522	17278	2543
523	17313	2511
524	17346	2478
525	17379	2445
526	17415	2412
527	17448	2379
528	17482	2346
529	17514	2313
530	17545	2279
531	17577	2246
532	17609	2213
533	17642	2180
534	17674	2147
535	17706	2114
536	17739	2081
537	17773	2048
538	17809	2015
539	17844	1982
540	17879	1949
541	17914	1917
542	17946	1883
543	17978	1850
544	18014	1817
545	18048	1785
546	18080	1751
547	18116	1719
548	18152	1686
549	18186	1653
550	18221	1620
551	18257	1587
552	18294	1554
553	18329	1521
554	18364	1488
555	18397	1455
556	18432	1422
557	18466	1389
558	18500	1356
559	18535	1323
560	18571	1291
561	18605	1258
562	18639	1224
563	18672	1191
564	18706	1158
565	18738	1125
566	18772	1092
567	18804	1059
568	18839	1026
569	18873	993
570	18912	960
571	18951	927
572	18988	894
573	19028	861
574	19066	828
575	19102	795
576	19140	762
577	19180	730
578	19219	697
579	19254	663
580	19289	630
581	19324	597
582	19361	564
583	19403	531
584	19439	498
585	19474	465
586	19511	432
587	19552	399
588	19587	365
589	19622	332
590	19658	299
591	19694	266
592	19731	232
593	19765	199
594	19803	166
595	19838	133
596	19872	99
597	19908	66
598	19943	33
599	19983	0
